,Sentence,Author_name
24,  ,Simona-Alexandra
25,"In this interview with Jo Havemann, Luca reflects on the fundamental differences between arts and science, what it means to be the only artist in the lab, and how the two disciplines mutually enrich each other",Luca-Forcucci
26, We are here today with Luca Forcucci  from Switzerland and he's an artist and also a scientist,Luca-Forcucci
27, In this episode he will tell you more about how he became an artist as a scientist,Luca-Forcucci
28, Welcome Luca! Hi my name is Luca Forcucci and I am very happy to be here by the river Spree with a nice sun in front of us,Luca-Forcucci
29," I have a PhD in music, technology and innovation also known as Sonic Arts",Luca-Forcucci
30, There's a comma between music and technology by the way,Luca-Forcucci
31," I became involved in this research after a Master in Sonic Arts, studying mainly in Belfast is the UK and in Leicester; I got my PhD from De Montfort University",Luca-Forcucci
32, Before that I studied architecture so I have a diploma in architecture and I have practiced for 20 years but I have always been involved in music meaning I had a record contract very early and I played concerts for many years in Switzerland,Luca-Forcucci
33," I am used to production and research of artists, but I also have been involved in what is called Electroacoustic Music",Luca-Forcucci
34, Meaning neo-music or new music,Luca-Forcucci
35, When I started my PhD right after my master studies I got a grant from the Swiss government,Luca-Forcucci
36, That grant was part of a program called the Swiss artists in labs that would put artists into scientific labs in Switzerland for 9 months,Luca-Forcucci
37, Then the idea was to see what kind of outcome can come from this research and interactions,Luca-Forcucci
38,  I was in the laboratory of cognitive neuroscience in Switzerland which is part of the Brain Mind Institute,Luca-Forcucci
39, I was working with Professor Olaf Blanke,Luca-Forcucci
40, His main research back then was about out-of-body experiences,Luca-Forcucci
41," The idea was to see how we can handle prosthetics, so various issues and so on",Luca-Forcucci
42," Most of the research is conducted to have virtual imagery, meaning the integration of this in the brain is multimodal so the idea was to see what's the role of the sound so we conducted research on that part",Luca-Forcucci
43," Right after that program, I started my PhD which was directed into the arts, Sonic Arts",Luca-Forcucci
44," With this idea of how we perceive sounds, what's the role of embodiment into sound and personally I was interested in mental imagery: What kind of mental imagery there would be in the mind of a person when this person will listen to a particular sound or particular composition or particular sound installation",Luca-Forcucci
45,"  Obviously, everyone has a personal historical background and memory of course but it was interesting to see if particular space or architectural space would be represented by the brain and if we can find patterns",Luca-Forcucci
46, What kind of sounds are you using for your studies?  I used mostly sounds from my expedition e,Luca-Forcucci
47,g the Brazilian Amazon rainforest,Luca-Forcucci
48," I stayed there for two weeks with indigenous peoples, rainforest sounds, sounds from cities like Shanghai but also sounds from the body and how they interact between each other",Luca-Forcucci
49,  And then to observe how people react to these sounds?  Exactly and for this I had to train people because there's a big difference between hearing a sound and listening to a sound,Luca-Forcucci
50, It was pointed out by the philosopher  Roland Barthes,Luca-Forcucci
51, Hearing is a physiological act whereas listening is a psychological act,Luca-Forcucci
52, I had to train people to listen and to have a dedicative listening in order to see those images and ask them what kind of architecture spaces we were seeing and then try to find if there were patterns,Luca-Forcucci
53,  Did you have a hypothesis in the beginning that you could prove right or wrong what the finding of the study would be?  Well I am not a neuroscientist but I'm working with them,Luca-Forcucci
54, What I perceived is the space that I found among those participants which was 30 people for each piece so it means 180 people in total,Luca-Forcucci
55," The pattern I saw was a very small space, my hypothesis is that space that they perceive is their own body",Luca-Forcucci
56,  So that was for the work during your PhD and what happened after the PhD? What was the subsequent plan after that?  The research was practice-based research mainly,Luca-Forcucci
57,  I did my PhD part time so it means it was six years because I wanted to keep my artistic career so it means many art tendencies and many commissions which sometimes became part of the research or not,Luca-Forcucci
58,"  Basically I was already working mainly and I worked before I had my own architecture office, I was entrepreneur, researcher, artist I was self-founded,  self-dedicated, self-research but published in a high impact factor journals but also exhibition and so on",Luca-Forcucci
59,"  So after the PhD it didn't make any difference I was still doing what I was doing during, before and after the PhD",Luca-Forcucci
60,"  I am still collaborating with the researcher from that period at the brain mind institute meaning that's I take their research, in french there is a word called ""scientisme"" I don't know how to translate it in German or english",Luca-Forcucci
61," It's a kind of science but pseudoscience you proclaim you make science, I don't want to do that",Luca-Forcucci
62," The idea is that I ask them their expertise, I'm making research, I work on very precise case and then develop from them into my artistic work",Luca-Forcucci
63, The idea it's not to vulgarize science with art but to possibly ask new questions because I think this friction between art and science can be very beneficial,Luca-Forcucci
64,"   This is accepted as well, Europe for example with the H2020 has released a wish to go toward that direction of course they want to develop, they have other ideas, like markets and scientist",Luca-Forcucci
65, The artists are there to bring creativity,Luca-Forcucci
66, Creativity is still naive and has to be defined,Luca-Forcucci
67, The friction between scientists and artists can be useful to change the angle not of research but to bring new ideas in both ways actually,Luca-Forcucci
68, In the sense that the scientific research influence my work and vice versa,Luca-Forcucci
69," Basically I'm continuing with my career as an artist  and I might join a research lab at some point more like a traditional academic, a postdoc or a program research",Luca-Forcucci
70, Sometimes you need to be in a one or two years program to really dive into a certain research,Luca-Forcucci
71," Actually you don't stop really, when I graduated I gave my thesis, I went to San Francisco I was invited by Leonardo Journal and Djerassi foundation and I spent one month with 14 artists and scientists and we didn't make research we were just living together, each one conducting his own ideas, exploring his own ideas",Luca-Forcucci
72, We would have ideas around the coffee machine or during a meal,Luca-Forcucci
73," Going back to the time during your PhD, were there people that come to mind that inspired you to pursue your passion or topics you're passionate about or experiences you had where you thought this is quite a challenge and where you found yourself struggling and got yourself out of that struggle again?  I met many people, a lot  because I was not stuck in the university where I studied I was there maybe five weeks a year, maximum",Luca-Forcucci
74, I will go to the university and discussed with my supervisor,Luca-Forcucci
75,  Because of today possibilities I was communicating more through Skype so I didn't have to be there,Luca-Forcucci
76," Meanwhile I was conducting my research in a residency like in Shanghai, Paris or here in Berlin",Luca-Forcucci
77,"  So I met a lot of people during this period of research, also different cultures in research in German university, Swiss university, French university, Chinese University, Brazilian universities",Luca-Forcucci
78," I had a very bright and large perspective on research in my field, in the arts and the struggle encounters by my peers, of course money wise but also supervisors wise",Luca-Forcucci
79," All the problem that PhD can encounter, that you can imagine",Luca-Forcucci
80, I saw most of them,Luca-Forcucci
81, I was able to find my path and discuss many things,Luca-Forcucci
82," Then of course it was a lot of inspiring people I was lucky enough to be in great university like EPFL in Switzerland, the brain mind institute in Berlin, the major lab in the world for cognitive science, in particular Olaf Blanke's lab",Luca-Forcucci
83, The interesting thing is that he comes from a family of artists as he's the only one that made it to Neuroscience,Luca-Forcucci
84," He was even teaching me Art, we were discussing for example this artist called Bruce Norman and he was using this artist that was working on alternative way to look at your body, Olaf Blanke was using this artworks from Bruce Norman to design his experiments",Luca-Forcucci
85,"   It was amazing because I was in a scientific environment, I had to be accepted  and I have to learn the vocabulary of course because it's super precise but on the other hand I was someone that was totally sympathetic to my research",Luca-Forcucci
86," The director of the Brain Mind Institute Pierre Magistretti was interested in opera and he had side project where he asked opera singer to sing opera with a certain mindset like sing a part of the opera sad, sing it with a positive image",Luca-Forcucci
87," It was great I was very lucky to be one year in such environment, it was like going to the Star trek's spaceship everyday  On the other hand I was really inspired by women I have to say because electroacoustic music emerge from a very white middle class western tradition and I always complained that there was not enough women and cultural diversity as well in the labs",Luca-Forcucci
88," I was lucky enough to meet a lot of women, composer that have to struggle like Pauline Oliveros, she's an icon just like John Cage which is a major figure in his field",Luca-Forcucci
89," I was able to meet her, she is a really generous person",Luca-Forcucci
90, I think there is less competition between women than man,Luca-Forcucci
91, She was a really amazing person and she really open my mind on many aspects about research and life,Luca-Forcucci
92," Also Ashilow Madre, she was my professor when I was doing my master in Belfast and she is great",Luca-Forcucci
93, Bonnild Ferrari which was the widow of Luke Ferrari  major composer,Luca-Forcucci
94," Evelyne Gayou part of the GRM, the GRM is the ""groupe de recherche musical"" at radio France in Paris, so many people",Luca-Forcucci
95," What did you learn from them, in particular from the women?  Generosity, creativity, less competition and more ideas Given that you have so much experience and had the chance to get insights into different cultures and their academic worlds literally spread around the world, is there a universal advise you could give to current PhD students? What you saw, what to be aware of? One thing mentioned was for example: Choose your supervisor wisely or: Challenge your supervisor",Luca-Forcucci
96, That's what other people often advise in our podcast but apart from that what's an advice you would give to PhD students around the world?  First of all you really need to choose your supervisor for his/her research and not only on his reputation,Luca-Forcucci
97," Reputation of course but you not necessarily have to have a star, a university star",Luca-Forcucci
98, It has to be someone that has experience but someone that you respect that is close to your preoccupation for your research,Luca-Forcucci
99, I don't think that this start system - to just put names next to yours - is a good idea because he/she is usually super busy so you won't see much of them,Luca-Forcucci
100, You have to make your own contribution,Luca-Forcucci
101, I have more experience with design and art  because I worked with it,Luca-Forcucci
102," It's a very old topic ""Art and Science"", they were not differentiated back then you had Marcel Duchamps whom was inspired by Heny Poincar",Luca-Forcucci
103," It goes back to the 12th century in Persia where researchers were also philosophers, poets, astronoms, there is nothing new",Luca-Forcucci
104, I would say just be original,Luca-Forcucci
105," Well, it's not really original to say that",Luca-Forcucci
106," Just find your way, open your mind, go out of the lab as well, meet people and discuss various way, challenge everything",Luca-Forcucci
107, The PhD was one of the best thing I did in my life,Luca-Forcucci
108,  Not per se but the adventure I went through during that period,Luca-Forcucci
109, You are already busy doing what you do but after you become even more busy and you want to have the time to experiment because there is other things coming,Luca-Forcucci
110," Take that time to experiment, and challenge the most you can because when you are out it is totally different, you are kind of cocoon you are a bit protected during the PhD That's also what you miss about the PhD periods to be able to try different things, fail and succeed and fail again it's nothing bad to fail rather than gaining experiences",Luca-Forcucci
111, Which you have not the freedom as much later on,Luca-Forcucci
112," That's part of the experience to fail of course, the more you fail the better",Luca-Forcucci
113," But after you have all the preoccupation because you have to go to the next step, it means other things maybe you want to build a lab",Luca-Forcucci
114," When you are in a PhD you are still free to try things, you have the time to do it",Luca-Forcucci
115, After you have to create your own time but it's a very privileged period I guess being in a PhD,Luca-Forcucci
116,"  Afterwards what's driving you now? Is work still a source from the time as a PhD students and how the things continue since, also following up of what's your plan for the next 3 to 5 years",Luca-Forcucci
117, I have my lab at some point,Luca-Forcucci
118," I would like to continue to travel, it is part of my project because I work with what I call ancestral technologies",Luca-Forcucci
119, I work with people in southern Africa,Luca-Forcucci
120, And I work in Brazil since 10 years,Luca-Forcucci
121," My question is what was the technology, what was the knowledge before the jesuite went there and destroyed all that knowledge",Luca-Forcucci
122, That knowledge is very important to me,Luca-Forcucci
123, We have a lot of technology today but that technology back then is probable very valuable,Luca-Forcucci
124,  At the moment I'm conducting this research calling ancestral technology and the perception of sounds,Luca-Forcucci
125, This include many things I won't discuss too much here but continue to travel explore all those opportunity,Luca-Forcucci
126,"  On the long term, I would like to have my lab possibly but my lab which is also my studio but sometimes I have it sometimes I don't",Luca-Forcucci
127," I'm really a nomade I go around, my lab, it's my luggage and sometimes I would like to establish more my things and be more ambitious",Luca-Forcucci
128, Anyway I'm happy with what I'm doing mainly I would like to be able to continue to do it,Luca-Forcucci
129," At the end there is also the funding part, how you design this economical side, until where you can go, what you would accept to get funding, sometimes you get funding but ethically would you accept them? is it okay or you just don't mind  just take it and go? That's the main point, you can be the most brilliant person on Earth but at some point you need funding",Luca-Forcucci
130," That is not a question of big amount but being able to work with people, build a team having a device",Luca-Forcucci
131, How you make it sustainable,Luca-Forcucci
132,  Sometimes you might have funding for one year and then the year after for thousands of reasons fundings are not available anymore,Luca-Forcucci
133," Is private funding good? Do you only work with states fundings, what's the difference? Until where you can go? I guess personally I think it's important and it's a lot of questions  It's either you are an entrepreneur or you are stuck in a lab and then you have the follow the "" publish or die"" rule, but is it still valid today?  Today continuing on that path there is many PhD and there is not as much positions so you have to think outside of the box, in another way, your career you have to be prepared to not make an academic career with your PhD",Luca-Forcucci
134," You might be open, your skills might be useful in the industry or in the arts in my case",Luca-Forcucci
135, Think that those skills might be transposed in another field and not necessarily in academia,Luca-Forcucci
136," Well, you do your bachelor, your master, your PhD and that maybe 3, 4, 5, 10 postdocs and then you become a professor, assistant professor, lecturer, I saw even assistant lecturer which is a very bad condition",Luca-Forcucci
137, You are not paid that well I haven't done it but I have colleagues that where assistant lectures not assistant professor! So you know it might be very precarious and you might not end up with professorship,Luca-Forcucci
138, Professors positions are very few,Luca-Forcucci
139, I am convinced that those skills are very useful and very valuable outside,Luca-Forcucci
140, There is an image of a doctor outside academia,Luca-Forcucci
141," People might be scared of that image we have to break that and say ""well look they are many other opportunities""",Luca-Forcucci
142," I know many people that work in the industry and they're very successful, they were very happy",Luca-Forcucci
143, A friend of mine works as physicist and he made is PhD on laser- very precise -  he worked on microscopes and now he works for a big American company for medical device but he is an engineer maybe for an engineer it's easier but what you do with a PhD in the humanities for example,Luca-Forcucci
144, I mean obviously you become a professor but again there is not so many available position,Luca-Forcucci
145," How you can transfer and transpose those skills, that's not discussed! I have the impression that the professor I know think it's agreed that you will become a professor or you will become a lecturer ",Luca-Forcucci
146," they don't prepare you to be something else, to be more flexible, it will be more and more like that",Luca-Forcucci
147," What's motivating you to continue to seek association with research from your own perspective so to say Well it's a need, I'm very interested by the brain how it works",Luca-Forcucci
148, it's a really deep interest as music is,Luca-Forcucci
149, So first you make art because it's a need you might make science because it's in need at that level it's it's like Formula One,Luca-Forcucci
150," Like a passion that comes, like a driving force it's really a need, it has to drive you, it has to be a really deep preoccupation I don't think that this kind of jobs is a 9 to 5 job",Luca-Forcucci
151," You go to sleep it's there, you wake up it's there",Luca-Forcucci
152, That's the main thing then,Luca-Forcucci
153, What do you think it's important to fuse science and arts to let them mingle to play around to take scientific questions with artistic interventions,Luca-Forcucci
154, And in your case audios For me it happen during my research  I've been thrown in a neuroscience lab,Luca-Forcucci
155," Then I study a bit this, it was my path and my interest",Luca-Forcucci
156, It's interesting because it gives new path and not only creativity,Luca-Forcucci
157,"  Today everything is creativity, we are really at the point where we should remove it from our CV because it doesn't mean anything anymore it's kind of overused",Luca-Forcucci
158, Everything is super specialized if you do a PhD you're super specialized,Luca-Forcucci
159, But here it opens a bit more the field and there's nothing new as I was saying before in Persia already at the 12 century people were studying astronomy poetry and so on,Luca-Forcucci
160, For example in China to be an intellectual you need not to be an intellectual,Luca-Forcucci
161," There's a tradition to be an artist, be in that intelligence I don't like this word intelligence it puts things above and I'm more horizontal thinking but anyway",Luca-Forcucci
162," Back then you have to study mathematics, calligraphy, poetry and music",Luca-Forcucci
163," It's is even older than our western thinking obviously you have Leonardo Da Vinci which I don't want to talk too much about, during the renaissance that was funded by the medici there is Marcel Duchamps closer working with Henry Pointcarr It's nothing new but now it's like a trend, it's more this idea of creativity and markets, which is a strange idea to me",Luca-Forcucci
164, There is also something that defines human beings,Luca-Forcucci
165," We are not only the physics and biology, and on the other side humanities",Luca-Forcucci
166," Further art and prouds that are parts of our lives but parts of the human being, culture, artistics",Luca-Forcucci
167, If you want to drive it into the top some people might argue that's what distinguishes us from the animals some biologist might intervene because animals are capable of conducting culture but that's a different story,Luca-Forcucci
168," It's part of us you can't really separate it, isn't it? You can't separate art from science",Luca-Forcucci
169, You know for certain questions yes but it's important to have the mix as well,Luca-Forcucci
170, At the end of the day science and art contribute to the same thing which is life,Luca-Forcucci
171," Or certain aspects of life but let's make it short we both studying the same aspect which is life, we have different methodology",Luca-Forcucci
172," We, the artist, look more for meaning and metaphor",Luca-Forcucci
173, It doesn't mean that is less important,Luca-Forcucci
174, At the end it is the same we tried to define things,Luca-Forcucci
175, It's a question of methodology,Luca-Forcucci
176," When you study science it's objective, third person perspective",Luca-Forcucci
177, What about subjectivity,Luca-Forcucci
178, First person perspective if you investigate behavior for example,Luca-Forcucci
179," What about what I feel inside me how do you study it? I would say very very roughly that should be amplified and observed more carefully but I would say that if sciences is the study through objective lens, art would be through a subjective lens",Luca-Forcucci
180, But it doesn't mean that subjectivity is less important for science,Luca-Forcucci
181," For some reason, historical reason we don't do that",Luca-Forcucci
182, We don't study subjectivity,Luca-Forcucci
183," Whereas it might be interesting of course it is more complicated, what kind of methodology do you use, you can't be inside one person",Luca-Forcucci
184," There is phenomenology, there's many many techniques",Luca-Forcucci
185, We have more knowledge with neuroscience for example,Luca-Forcucci
186,"    At the end it is how you make a fusion, how you combine science and art because if I investigate particular case I would need quantitative methodology but how do I mix with qualitative",Luca-Forcucci
187," How do I go to subjectivity, how do I investigate subjectivity",Luca-Forcucci
188," Both sides, art and science, it might bring new ideas new vision, new discovery",Luca-Forcucci
189," Well thank you, thanks so much",Luca-Forcucci
190, You're welcome,Luca-Forcucci
191,  ,Luca-Forcucci
192,"        True Story: I Dropped Out of My PhD Program  Thinking about dropping out of your PhD? Not sure that graduate program is right for you? You're  not alone! Today, my friend Erin is sharing the story of dropping out of her PhD",Erin's story - dropout
193," Tell us a bit about yourself! I grew up happy and reasonably well-adjusted in a suburb of Minneapolis, Minnesota, part of a fun,  hilarious family who've always made me believe I could do anything",Erin's story - dropout
194," I'm now 30, a huge comedy fan who enjoys lots of time with her friends and family, travels when  possible and teaches ESL and Civics to immigrants for a non-profit organization",Erin's story - dropout
195," When did you decide that you wanted to go to graduate school? was always a voracious reader and a very eager student, especially in literary and cultural  studies",Erin's story - dropout
196," The first time I read a piece of literary criticism assigned by a high school English  teacher, it was as though everything I'd always felt viscerally about what literary expression  makes possible had been proven",Erin's story - dropout
197, That I had some sensibility for what I read gave me confidence as a  teenager,Erin's story - dropout
198," I knew that graduate study would be professionally advantageous and, y'know, I was a big nerd for  school",Erin's story - dropout
199, But at that point it dawned on me that there was a whole field out there all about sharing  insights into how we express our humanity with form and language and that I could be part of it,Erin's story - dropout
200, I chose to pursue German rather than English hoping that the foreign language aspect would make my  experience even richer,Erin's story - dropout
201, Why were you interested in doing a Ph,Erin's story - dropout
202," as opposed to ""just” an M",Erin's story - dropout
203,? Or self-study? Or working  your way up? \ was planning to become a professor of German because that's pretty much what you can do if you're  interested in teaching/working with literature as well as language,Erin's story - dropout
204," And for that, I needed a Ph",Erin's story - dropout
205," I'm still struggling with why I saw no option other than this career to enjoy a lifelong  relationship with books, why it seemed necessary to bind my professional efforts with this  particular passion or I would be failing myself",Erin's story - dropout
206,  What did you imagine doing a Ph,Erin's story - dropout
207," would be like? Arriving at this HUGE research university, I anticipated a liberal arts haven of critical thought  and open mindedness, so I was crushed when I entered an atmosphere of self-serving negativity",Erin's story - dropout
208," My  department had terrible, ongoing faculty collegiality problems that they chose to ignore, to the  detriment of the graduate students",Erin's story - dropout
209, I took fabulous classes in four other departments where I noticed grad students being properly  trained to engage with various theories and methodologies; my profs didn't bother with this,Erin's story - dropout
210," I saw  so many student colleagues, brilliant friends of  mine that I admired, transformed by faculty bullying into a shell of their former promising selves,  and I was the same",Erin's story - dropout
211, This article covers the symptoms very well,Erin's story - dropout
212," Unfortunately, the denigration seemed unconsciously targeted toward women in my department; it was  sickening, very much along the lines of an abusive relationship",Erin's story - dropout
213," We were constantly made to feel  that nothing we did was right, but were all convinced that we'd be left with nothing if we escaped  the situation",Erin's story - dropout
214," A few did; I stayed for four years past my Master's, hoping I could improve things from the inside,  but it was a sick system",Erin's story - dropout
215," So much happened that I couldn't forgive, yet I gave them most of my 20s",Erin's story - dropout
216,  When did you begin to think that you were not the right fit for this PhD program? I couldn't perform any academic work,Erin's story - dropout
217," I stayed on top of my teaching, but I lived in terror of my  own anxiety, which lead to continual procrastination",Erin's story - dropout
218," My candidacy exams had to be rescheduled several times and in the end, I never took them; I  couldn't face the giant pile of books in my apartment, even though I was studying humor, my  all-time favorite topic",Erin's story - dropout
219, I slowly realized via counseling that I couldn't surrender this exploration of what I love most to  the approval of a faculty who had hurt and screwed me and my friends over year after year,Erin's story - dropout
220, To  complete exams and a dissertation according to their standards would compromise my integrity,Erin's story - dropout
221," Plus, my avoidance tendencies were creeping into every area of my life",Erin's story - dropout
222, So my leaving was more or  less mutually decided upon; I was not succeeding in their program and I didn't want to pursue it  any longer if it meant risking my mental health,Erin's story - dropout
223, How did the people in your life react to your decision? I wasted so much energy worrying about this,Erin's story - dropout
224," I was sure my family and friends would be  disappointed, that they wouldn't know how to see me afterward and would expect less of me for the  rest of my life",Erin's story - dropout
225," More or less to a person, that hasn't been the case",Erin's story - dropout
226, Virtually everyone gets it and virtually everyone's been supportive,Erin's story - dropout
227, Some people even seem  impressed that I moved on from that toxic situation,Erin's story - dropout
228," It was me who wasn't sure what worth I'd have  outside of grad school, without the prestige of a PhD",Erin's story - dropout
229, I needed to have faith that other people can see who I am irrespective of my career choices,Erin's story - dropout
230, That's  still tough to remember; I often feel the need to explain in great detail how crappy things got in  order to justify leaving school after six years,Erin's story - dropout
231," Ultimately, though, I'm just explaining it to  myself",Erin's story - dropout
232, What have been the biggest struggles of your post-Ph,Erin's story - dropout
233," life? And the best things?  Oh, my already depleted self-esteem just plummeted",Erin's story - dropout
234," I was broke, unemployed and had to move back in  with my folks at age 28",Erin's story - dropout
235, My depression and anxiety took over for a while,Erin's story - dropout
236," Therapy, anti-depressants and the people I love have been good to me, but what's benefited me most  was definitely finding a job doing something new that I'm good at, where people appreciate my  contributions",Erin's story - dropout
237, I feel free now,Erin's story - dropout
238, I love seeing my students and coworkers every day,Erin's story - dropout
239, I miss working with literature but engaging with  it has become so fraught for me that I don't know if I'll ever want it to be my life again,Erin's story - dropout
240," There's  also the sweet, sweet honesty of considering what actually do want from here on out",Erin's story - dropout
241," What advice would you give to other people in academic programs they don't like? Trust your gut and value your abilities at all times, though insecurity is basically encouraged in  academia",Erin's story - dropout
242," Grad school pressures tend to exacerbate our worst tendencies; if you're suffering for  any reason or feel you've lost your bearings, seek counseling at the university",Erin's story - dropout
243," Counseling helped me immeasurably, most of all giving me back the perspective that my overall well  being should always be the primary goal of my lifestyle, rather than my ability to succeed by  someone else's standard",Erin's story - dropout
244," At the risk of sounding Pollyanna-ish, it's hugely comforting to have  learned that I don't just get a chance at one awesome version of my life—we can always change  course",Erin's story - dropout
245," Have any of you guys dropped out of something big? Any questions for Erin? Photo Ivy Iñaki de/ Olmo on Unsplash     PREVIOUS POST                         NEXT POST     HOW TO RESCUE THE TIME & ENERGY TO GO AFTER WHAT YOU WANT  You know what you want, you just need more time + energy to go after it",Erin's story - dropout
246," Let me help you find it!                 Name  Email   FREE — DOWN LOAD NOW!                           WELCOME TO YES & YES! Want to spend your time, money, and energy on purpose? I'll show you how",Erin's story - dropout
247,"    MONEY HAPPINESS HABITS + GOALS TRAVEL  HOW TO RESCUE THE TIME & ENERGY TO GO AFTER WHAT YOU WANT             You know what you want, you just need more time + energy to go after it",Erin's story - dropout
248," Let me help you find it!    Name   Email   FREE — DOWNLOAD NOW!                          True Story: I Did Teach For America  READ MORE                      True Story: I Reinvented Myself at 50  READ MORE                        True Story: I lost my hand, leg, and sight to sepsis  READ MORE  Mark on 19 September 2011 at 12:14 pm Mercy",Erin's story - dropout
249, I have been teaching high-level High school English courses,Erin's story - dropout
250, Newly 31 years-old,Erin's story - dropout
251, I resonate  with this story on so many levels,Erin's story - dropout
252, I am applying to graduate school because I feel like I'd have a  company of people in love with texts and conversation and teaching and relationship and the whole  long conversation,Erin's story - dropout
253, Thank you for sharing your harrying experience,Erin's story - dropout
254, I feel like I lost most of my 20s by deciding  against a PhD program and beginning to work,Erin's story - dropout
255," Lesson? I think most people feel they ""gave away their 20s",Erin's story - dropout
256,""" It's a crisis of the age and the  ambiguity of our times (perhaps, also, the ""burden of choice"")",Erin's story - dropout
257," You probably will not regret the good books and good moments, and rich study",Erin's story - dropout
258, It's probably hard to  see through the haze of memories unmet by peace,Erin's story - dropout
259,but it's true,Erin's story - dropout
260," NPOs, civil workers—everyone with  a heart for the human story—would benefit so much from literature",Erin's story - dropout
261, Thanks for sharing Erin,Erin's story - dropout
262," M  REPLY    Raquelita on 19 September 2011 at 12:26 pm Thanks for sharing your story, Erin",Erin's story - dropout
263," I do have a PhD, but I had a number of friends who left my  graduate program without finishing",Erin's story - dropout
264," While my PhD granting department is not without its issues, it  was not a toxic environment",Erin's story - dropout
265, A lot of people just decided that the academic life was not for them,Erin's story - dropout
266,"  I think it takes a fair amount of courage to admit that, to leave, and to move on",Erin's story - dropout
267,"  REPLY    AlsoErin on 19 September 2011 at 1:08 pm I dropped out of a Master's program because the program was terrible, I had changed my mind about  what I wanted to focus on, and my life was a mess",Erin's story - dropout
268," I thought everyone would hate me for it (wasting  money! giving up halfway through!), but the important  people understood and no one else seemed very interested",Erin's story - dropout
269," I'm so much happier now!  REPLY    Michelle on 19 September 2011 at 2:10 pm Erin,  I had the exact same experience at the exact same university (slightly different department  though)",Erin's story - dropout
270, It was the hardest decision I've ever made — and one that I will occasionally get down on myself  about (on bad days),Erin's story - dropout
271, joining the job market in the fall of 2008 didn't help either,Erin's story - dropout
272,"  But I've never looked back — I was utterly miserable and I know I still would be today if I hadn't  found the courage to ""fail"" and walk away",Erin's story - dropout
273, It's nice to know I'm not alone,Erin's story - dropout
274, I wish you the very best,Erin's story - dropout
275,"  REPLY    Ashley on 19 September 2011 at 5:09 am I resonate with this so much — I had once wrapped all my value with my music and music career and  the conservatory I was at was such a toxic and competitive environment — I got really sick from it,  too",Erin's story - dropout
276," I was so afraid that the world would be disappointed with me, and that music was my only  'talent'",Erin's story - dropout
277," It was so good for me to get out of that environment and realize, as you say, ""I'm  free!"" That especially came with some volunteer experience and I saw that I didn't need to be a  virtuoso (or a PhD, etc",Erin's story - dropout
278,) to do something I love and to be loved,Erin's story - dropout
