,Sentence,Author_name,Vader_Sentiment,Vader_Analysis,TextBlob_Polarity,TextBlob_Analysis
55," The pattern I saw was a very small space, my hypothesis is that space that they perceive is their own body",Luca-Forcucci,0.0,Neutral,-0.25,Negative
56,  So that was for the work during your PhD and what happened after the PhD? What was the subsequent plan after that?  The research was practice-based research mainly,Luca-Forcucci,0.0,Neutral,-0.21111111111111114,Negative
57,  I did my PhD part time so it means it was six years because I wanted to keep my artistic career so it means many art tendencies and many commissions which sometimes became part of the research or not,Luca-Forcucci,0.0772,Neutral,0.14166666666666666,Positive
58,"  Basically I was already working mainly and I worked before I had my own architecture office, I was entrepreneur, researcher, artist I was self-founded,  self-dedicated, self-research but published in a high impact factor journals but also exhibition and so on",Luca-Forcucci,0.0,Neutral,0.16333333333333333,Positive
59,"  So after the PhD it didn't make any difference I was still doing what I was doing during, before and after the PhD",Luca-Forcucci,0.0,Neutral,0.0,Neutral
60,"  I am still collaborating with the researcher from that period at the brain mind institute meaning that's I take their research, in french there is a word called ""scientisme"" I don't know how to translate it in German or english",Luca-Forcucci,0.0,Neutral,0.0,Neutral
61," It's a kind of science but pseudoscience you proclaim you make science, I don't want to do that",Luca-Forcucci,0.3612,Neutral,0.6,Positive
62," The idea is that I ask them their expertise, I'm making research, I work on very precise case and then develop from them into my artistic work",Luca-Forcucci,0.0,Neutral,0.3666666666666667,Positive
63, The idea it's not to vulgarize science with art but to possibly ask new questions because I think this friction between art and science can be very beneficial,Luca-Forcucci,0.4404,Neutral,0.06818181818181818,Positive
64,"   This is accepted as well, Europe for example with the H2020 has released a wish to go toward that direction of course they want to develop, they have other ideas, like markets and scientist",Luca-Forcucci,0.8481,Positive,0.0,Neutral
65, The artists are there to bring creativity,Luca-Forcucci,0.3818,Neutral,0.0,Neutral
66, Creativity is still naive and has to be defined,Luca-Forcucci,0.128,Neutral,-0.3,Negative
67, The friction between scientists and artists can be useful to change the angle not of research but to bring new ideas in both ways actually,Luca-Forcucci,0.4404,Neutral,0.14545454545454545,Positive
68, In the sense that the scientific research influence my work and vice versa,Luca-Forcucci,0.0,Neutral,0.0,Neutral
69," Basically I'm continuing with my career as an artist  and I might join a research lab at some point more like a traditional academic, a postdoc or a program research",Luca-Forcucci,0.5719,Positive,0.0,Neutral
70, Sometimes you need to be in a one or two years program to really dive into a certain research,Luca-Forcucci,0.3353,Neutral,0.20714285714285713,Positive
71," Actually you don't stop really, when I graduated I gave my thesis, I went to San Francisco I was invited by Leonardo Journal and Djerassi foundation and I spent one month with 14 artists and scientists and we didn't make research we were just living together, each one conducting his own ideas, exploring his own ideas",Luca-Forcucci,-0.1531,Neutral,0.11212121212121212,Positive
72, We would have ideas around the coffee machine or during a meal,Luca-Forcucci,0.0,Neutral,0.0,Neutral
73," Going back to the time during your PhD, were there people that come to mind that inspired you to pursue your passion or topics you're passionate about or experiences you had where you thought this is quite a challenge and where you found yourself struggling and got yourself out of that struggle again?  I met many people, a lot  because I was not stuck in the university where I studied I was there maybe five weeks a year, maximum",Luca-Forcucci,0.7453,Positive,0.15,Positive
74, I will go to the university and discussed with my supervisor,Luca-Forcucci,0.0,Neutral,0.0,Neutral
75,  Because of today possibilities I was communicating more through Skype so I didn't have to be there,Luca-Forcucci,0.0,Neutral,0.0,Neutral
76," Meanwhile I was conducting my research in a residency like in Shanghai, Paris or here in Berlin",Luca-Forcucci,0.3612,Neutral,0.0,Neutral
77,"  So I met a lot of people during this period of research, also different cultures in research in German university, Swiss university, French university, Chinese University, Brazilian universities",Luca-Forcucci,0.0,Neutral,0.0,Neutral
78," I had a very bright and large perspective on research in my field, in the arts and the struggle encounters by my peers, of course money wise but also supervisors wise",Luca-Forcucci,0.7783,Positive,0.5785714285714285,Positive
79," All the problem that PhD can encounter, that you can imagine",Luca-Forcucci,-0.4019,Neutral,0.0,Neutral
80, I saw most of them,Luca-Forcucci,0.0,Neutral,0.0,Neutral
81, I was able to find my path and discuss many things,Luca-Forcucci,0.0,Neutral,0.5,Positive
82," Then of course it was a lot of inspiring people I was lucky enough to be in great university like EPFL in Switzerland, the brain mind institute in Berlin, the major lab in the world for cognitive science, in particular Olaf Blanke's lab",Luca-Forcucci,0.9201,Positive,0.2725,Positive
83, The interesting thing is that he comes from a family of artists as he's the only one that made it to Neuroscience,Luca-Forcucci,0.4019,Neutral,0.5,Positive
84," He was even teaching me Art, we were discussing for example this artist called Bruce Norman and he was using this artist that was working on alternative way to look at your body, Olaf Blanke was using this artworks from Bruce Norman to design his experiments",Luca-Forcucci,0.0,Neutral,0.0,Neutral
85,"   It was amazing because I was in a scientific environment, I had to be accepted  and I have to learn the vocabulary of course because it's super precise but on the other hand I was someone that was totally sympathetic to my research",Luca-Forcucci,0.9501,Positive,0.41111111111111115,Positive
86," The director of the Brain Mind Institute Pierre Magistretti was interested in opera and he had side project where he asked opera singer to sing opera with a certain mindset like sing a part of the opera sad, sing it with a positive image",Luca-Forcucci,0.7783,Positive,0.04788961038961039,Positive
87," It was great I was very lucky to be one year in such environment, it was like going to the Star trek's spaceship everyday  On the other hand I was really inspired by women I have to say because electroacoustic music emerge from a very white middle class western tradition and I always complained that there was not enough women and cultural diversity as well in the labs",Luca-Forcucci,0.945,Positive,0.13703703703703704,Positive
88," I was lucky enough to meet a lot of women, composer that have to struggle like Pauline Oliveros, she's an icon just like John Cage which is a major figure in his field",Luca-Forcucci,0.6705,Positive,0.13194444444444445,Positive
89," I was able to meet her, she is a really generous person",Luca-Forcucci,0.5563,Positive,0.35,Positive
90, I think there is less competition between women than man,Luca-Forcucci,0.0,Neutral,-0.16666666666666666,Negative
91, She was a really amazing person and she really open my mind on many aspects about research and life,Luca-Forcucci,0.624,Positive,0.3666666666666667,Positive
92," Also Ashilow Madre, she was my professor when I was doing my master in Belfast and she is great",Luca-Forcucci,0.6249,Positive,0.8,Positive
93, Bonnild Ferrari which was the widow of Luke Ferrari  major composer,Luca-Forcucci,0.0,Neutral,0.0625,Positive
94," Evelyne Gayou part of the GRM, the GRM is the ""groupe de recherche musical"" at radio France in Paris, so many people",Luca-Forcucci,0.0,Neutral,0.25,Positive
95," What did you learn from them, in particular from the women?  Generosity, creativity, less competition and more ideas Given that you have so much experience and had the chance to get insights into different cultures and their academic worlds literally spread around the world, is there a universal advise you could give to current PhD students? What you saw, what to be aware of? One thing mentioned was for example: Choose your supervisor wisely or: Challenge your supervisor",Luca-Forcucci,0.875,Positive,0.12777777777777777,Positive
96, That's what other people often advise in our podcast but apart from that what's an advice you would give to PhD students around the world?  First of all you really need to choose your supervisor for his/her research and not only on his reputation,Luca-Forcucci,0.0,Neutral,0.225,Positive
97," Reputation of course but you not necessarily have to have a star, a university star",Luca-Forcucci,0.0,Neutral,0.0,Neutral
98, It has to be someone that has experience but someone that you respect that is close to your preoccupation for your research,Luca-Forcucci,0.4767,Neutral,0.0,Neutral
99, I don't think that this start system - to just put names next to yours - is a good idea because he/she is usually super busy so you won't see much of them,Luca-Forcucci,0.7783,Positive,0.26666666666666666,Positive
100, You have to make your own contribution,Luca-Forcucci,0.0,Neutral,0.0,Neutral
101, I have more experience with design and art  because I worked with it,Luca-Forcucci,0.0,Neutral,0.0,Neutral
102," It's a very old topic ""Art and Science"", they were not differentiated back then you had Marcel Duchamps whom was inspired by Heny Poincar",Luca-Forcucci,0.5719,Positive,0.05,Positive
103," It goes back to the 12th century in Persia where researchers were also philosophers, poets, astronoms, there is nothing new",Luca-Forcucci,0.0,Neutral,0.06818181818181818,Positive
104, I would say just be original,Luca-Forcucci,0.3182,Neutral,0.375,Positive
105," Well, it's not really original to say that",Luca-Forcucci,0.5709,Positive,0.375,Positive
106," Just find your way, open your mind, go out of the lab as well, meet people and discuss various way, challenge everything",Luca-Forcucci,0.34,Neutral,0.0,Neutral
107, The PhD was one of the best thing I did in my life,Luca-Forcucci,0.6369,Positive,1.0,Positive
108,  Not per se but the adventure I went through during that period,Luca-Forcucci,0.3182,Neutral,0.0,Neutral
109, You are already busy doing what you do but after you become even more busy and you want to have the time to experiment because there is other things coming,Luca-Forcucci,0.0772,Neutral,0.1,Positive
110," Take that time to experiment, and challenge the most you can because when you are out it is totally different, you are kind of cocoon you are a bit protected during the PhD That's also what you miss about the PhD periods to be able to try different things, fail and succeed and fail again it's nothing bad to fail rather than gaining experiences",Luca-Forcucci,0.8905,Positive,-0.13749999999999996,Negative
111, Which you have not the freedom as much later on,Luca-Forcucci,0.6369,Positive,0.0,Neutral
112," That's part of the experience to fail of course, the more you fail the better",Luca-Forcucci,-0.6249,Negative,-0.10000000000000002,Negative
113," But after you have all the preoccupation because you have to go to the next step, it means other things maybe you want to build a lab",Luca-Forcucci,0.0772,Neutral,-0.15625,Negative
114," When you are in a PhD you are still free to try things, you have the time to do it",Luca-Forcucci,0.5106,Positive,0.4,Positive
115, After you have to create your own time but it's a very privileged period I guess being in a PhD,Luca-Forcucci,0.6124,Positive,0.0,Neutral
116,"  Afterwards what's driving you now? Is work still a source from the time as a PhD students and how the things continue since, also following up of what's your plan for the next 3 to 5 years",Luca-Forcucci,0.0,Neutral,0.0,Neutral
117, I have my lab at some point,Luca-Forcucci,0.0,Neutral,0.0,Neutral
118," I would like to continue to travel, it is part of my project because I work with what I call ancestral technologies",Luca-Forcucci,0.3612,Neutral,0.0,Neutral
119, I work with people in southern Africa,Luca-Forcucci,0.0,Neutral,0.0,Neutral
120, And I work in Brazil since 10 years,Luca-Forcucci,0.0,Neutral,0.0,Neutral
121," My question is what was the technology, what was the knowledge before the jesuite went there and destroyed all that knowledge",Luca-Forcucci,-0.5423,Negative,-0.2,Negative
122, That knowledge is very important to me,Luca-Forcucci,0.2023,Neutral,0.4,Positive
123, We have a lot of technology today but that technology back then is probable very valuable,Luca-Forcucci,0.4767,Neutral,0.0,Neutral
124,  At the moment I'm conducting this research calling ancestral technology and the perception of sounds,Luca-Forcucci,0.0,Neutral,0.4,Positive
125, This include many things I won't discuss too much here but continue to travel explore all those opportunity,Luca-Forcucci,0.4215,Neutral,0.35,Positive
126,"  On the long term, I would like to have my lab possibly but my lab which is also my studio but sometimes I have it sometimes I don't",Luca-Forcucci,0.3612,Neutral,-0.025,Negative
127," I'm really a nomade I go around, my lab, it's my luggage and sometimes I would like to establish more my things and be more ambitious",Luca-Forcucci,0.6808,Positive,0.225,Positive
128, Anyway I'm happy with what I'm doing mainly I would like to be able to continue to do it,Luca-Forcucci,0.7351,Positive,0.48888888888888893,Positive
129," At the end there is also the funding part, how you design this economical side, until where you can go, what you would accept to get funding, sometimes you get funding but ethically would you accept them? is it okay or you just don't mind  just take it and go? That's the main point, you can be the most brilliant person on Earth but at some point you need funding",Luca-Forcucci,0.872,Positive,0.4133333333333334,Positive
130," That is not a question of big amount but being able to work with people, build a team having a device",Luca-Forcucci,0.0,Neutral,0.25,Positive
131, How you make it sustainable,Luca-Forcucci,0.0,Neutral,0.0,Neutral
132,  Sometimes you might have funding for one year and then the year after for thousands of reasons fundings are not available anymore,Luca-Forcucci,0.0,Neutral,0.4,Positive
133," Is private funding good? Do you only work with states fundings, what's the difference? Until where you can go? I guess personally I think it's important and it's a lot of questions  It's either you are an entrepreneur or you are stuck in a lab and then you have the follow the "" publish or die"" rule, but is it still valid today?  Today continuing on that path there is many PhD and there is not as much positions so you have to think outside of the box, in another way, your career you have to be prepared to not make an academic career with your PhD",Luca-Forcucci,-0.0516,Neutral,0.225,Positive
134," You might be open, your skills might be useful in the industry or in the arts in my case",Luca-Forcucci,0.4404,Neutral,0.15,Positive
135, Think that those skills might be transposed in another field and not necessarily in academia,Luca-Forcucci,0.0,Neutral,0.0,Neutral
136," Well, you do your bachelor, your master, your PhD and that maybe 3, 4, 5, 10 postdocs and then you become a professor, assistant professor, lecturer, I saw even assistant lecturer which is a very bad condition",Luca-Forcucci,-0.34,Neutral,-0.6999999999999998,Negative
137, You are not paid that well I haven't done it but I have colleagues that where assistant lectures not assistant professor! So you know it might be very precarious and you might not end up with professorship,Luca-Forcucci,0.1779,Neutral,0.0,Neutral
138, Professors positions are very few,Luca-Forcucci,0.0,Neutral,0.0,Neutral
139, I am convinced that those skills are very useful and very valuable outside,Luca-Forcucci,0.8271,Positive,0.15,Positive
140, There is an image of a doctor outside academia,Luca-Forcucci,0.0,Neutral,0.0,Neutral
141," People might be scared of that image we have to break that and say ""well look they are many other opportunities""",Luca-Forcucci,0.5994,Positive,0.5,Positive
142," I know many people that work in the industry and they're very successful, they were very happy",Luca-Forcucci,0.8176,Positive,0.6833333333333332,Positive
143, A friend of mine works as physicist and he made is PhD on laser- very precise -  he worked on microscopes and now he works for a big American company for medical device but he is an engineer maybe for an engineer it's easier but what you do with a PhD in the humanities for example,Luca-Forcucci,0.7269,Positive,0.16666666666666669,Positive
144, I mean obviously you become a professor but again there is not so many available position,Luca-Forcucci,0.0,Neutral,0.146875,Positive
145," How you can transfer and transpose those skills, that's not discussed! I have the impression that the professor I know think it's agreed that you will become a professor or you will become a lecturer ",Luca-Forcucci,0.5267,Positive,0.0,Neutral
146," they don't prepare you to be something else, to be more flexible, it will be more and more like that",Luca-Forcucci,0.5267,Positive,0.0,Neutral
147," What's motivating you to continue to seek association with research from your own perspective so to say Well it's a need, I'm very interested by the brain how it works",Luca-Forcucci,0.7506,Positive,0.25,Positive
148, it's a really deep interest as music is,Luca-Forcucci,0.507,Positive,0.0,Neutral
149, So first you make art because it's a need you might make science because it's in need at that level it's it's like Formula One,Luca-Forcucci,0.3612,Neutral,0.25,Positive
150," Like a passion that comes, like a driving force it's really a need, it has to drive you, it has to be a really deep preoccupation I don't think that this kind of jobs is a 9 to 5 job",Luca-Forcucci,0.886,Positive,0.26666666666666666,Positive
151," You go to sleep it's there, you wake up it's there",Luca-Forcucci,0.0,Neutral,0.0,Neutral
152, That's the main thing then,Luca-Forcucci,0.0,Neutral,0.16666666666666666,Positive
153, What do you think it's important to fuse science and arts to let them mingle to play around to take scientific questions with artistic interventions,Luca-Forcucci,0.4939,Neutral,0.3666666666666667,Positive
154, And in your case audios For me it happen during my research  I've been thrown in a neuroscience lab,Luca-Forcucci,0.0,Neutral,0.0,Neutral
155," Then I study a bit this, it was my path and my interest",Luca-Forcucci,0.4588,Neutral,0.0,Neutral
156, It's interesting because it gives new path and not only creativity,Luca-Forcucci,0.6808,Positive,0.13636363636363635,Positive
157,"  Today everything is creativity, we are really at the point where we should remove it from our CV because it doesn't mean anything anymore it's kind of overused",Luca-Forcucci,0.7184,Positive,0.1625,Positive
158, Everything is super specialized if you do a PhD you're super specialized,Luca-Forcucci,0.8316,Positive,0.3333333333333333,Positive
159, But here it opens a bit more the field and there's nothing new as I was saying before in Persia already at the 12 century people were studying astronomy poetry and so on,Luca-Forcucci,0.0,Neutral,0.06818181818181818,Positive
160, For example in China to be an intellectual you need not to be an intellectual,Luca-Forcucci,0.765,Positive,0.3,Positive
161," There's a tradition to be an artist, be in that intelligence I don't like this word intelligence it puts things above and I'm more horizontal thinking but anyway",Luca-Forcucci,0.8271,Positive,0.0,Neutral
162," Back then you have to study mathematics, calligraphy, poetry and music",Luca-Forcucci,0.0,Neutral,0.0,Neutral
163," It's is even older than our western thinking obviously you have Leonardo Da Vinci which I don't want to talk too much about, during the renaissance that was funded by the medici there is Marcel Duchamps closer working with Henry Pointcarr It's nothing new but now it's like a trend, it's more this idea of creativity and markets, which is a strange idea to me",Luca-Forcucci,-0.0026,Neutral,0.0643939393939394,Positive
164, There is also something that defines human beings,Luca-Forcucci,0.0,Neutral,0.0,Neutral
165," We are not only the physics and biology, and on the other side humanities",Luca-Forcucci,0.0,Neutral,0.0,Neutral
166," Further art and prouds that are parts of our lives but parts of the human being, culture, artistics",Luca-Forcucci,0.0,Neutral,0.0,Neutral
167, If you want to drive it into the top some people might argue that's what distinguishes us from the animals some biologist might intervene because animals are capable of conducting culture but that's a different story,Luca-Forcucci,0.3182,Neutral,0.2333333333333333,Positive
168," It's part of us you can't really separate it, isn't it? You can't separate art from science",Luca-Forcucci,0.0,Neutral,0.2,Positive
169, You know for certain questions yes but it's important to have the mix as well,Luca-Forcucci,0.7717,Positive,0.30714285714285716,Positive
170, At the end of the day science and art contribute to the same thing which is life,Luca-Forcucci,0.0,Neutral,0.0,Neutral
171," Or certain aspects of life but let's make it short we both studying the same aspect which is life, we have different methodology",Luca-Forcucci,0.2732,Neutral,0.07142857142857142,Positive
172," We, the artist, look more for meaning and metaphor",Luca-Forcucci,0.0,Neutral,0.0,Neutral
173, It doesn't mean that is less important,Luca-Forcucci,0.1298,Neutral,-0.026388888888888868,Negative
174, At the end it is the same we tried to define things,Luca-Forcucci,0.0,Neutral,0.0,Neutral
175, It's a question of methodology,Luca-Forcucci,0.0,Neutral,0.0,Neutral
176," When you study science it's objective, third person perspective",Luca-Forcucci,0.0,Neutral,0.0,Neutral
177, What about subjectivity,Luca-Forcucci,0.0,Neutral,0.0,Neutral
178, First person perspective if you investigate behavior for example,Luca-Forcucci,0.0,Neutral,0.25,Positive
179," What about what I feel inside me how do you study it? I would say very very roughly that should be amplified and observed more carefully but I would say that if sciences is the study through objective lens, art would be through a subjective lens",Luca-Forcucci,0.128,Neutral,-0.06666666666666667,Negative
180, But it doesn't mean that subjectivity is less important for science,Luca-Forcucci,0.1298,Neutral,-0.026388888888888868,Negative
181," For some reason, historical reason we don't do that",Luca-Forcucci,0.0,Neutral,0.0,Neutral
182, We don't study subjectivity,Luca-Forcucci,0.0,Neutral,0.0,Neutral
183," Whereas it might be interesting of course it is more complicated, what kind of methodology do you use, you can't be inside one person",Luca-Forcucci,0.7269,Positive,0.19999999999999998,Positive
184," There is phenomenology, there's many many techniques",Luca-Forcucci,0.0,Neutral,0.5,Positive
185, We have more knowledge with neuroscience for example,Luca-Forcucci,0.0,Neutral,0.0,Neutral
186,"    At the end it is how you make a fusion, how you combine science and art because if I investigate particular case I would need quantitative methodology but how do I mix with qualitative",Luca-Forcucci,0.0,Neutral,0.16666666666666666,Positive
187," How do I go to subjectivity, how do I investigate subjectivity",Luca-Forcucci,0.0,Neutral,0.0,Neutral
188," Both sides, art and science, it might bring new ideas new vision, new discovery",Luca-Forcucci,0.25,Neutral,0.13636363636363635,Positive
189," Well thank you, thanks so much",Luca-Forcucci,0.7269,Positive,0.2,Positive
190, You're welcome,Luca-Forcucci,0.4588,Neutral,0.8,Positive
191,  ,Luca-Forcucci,0.0,Neutral,0.0,Neutral
192,"        True Story: I Dropped Out of My PhD Program  Thinking about dropping out of your PhD? Not sure that graduate program is right for you? You're  not alone! Today, my friend Erin is sharing the story of dropping out of her PhD",Erin's story - dropout,0.6486,Positive,0.37857142857142856,Positive
193," Tell us a bit about yourself! I grew up happy and reasonably well-adjusted in a suburb of Minneapolis, Minnesota, part of a fun,  hilarious family who've always made me believe I could do anything",Erin's story - dropout,0.8957,Positive,0.45,Positive
194," I'm now 30, a huge comedy fan who enjoys lots of time with her friends and family, travels when  possible and teaches ESL and Civics to immigrants for a non-profit organization",Erin's story - dropout,0.9371,Positive,0.26666666666666666,Positive
195," When did you decide that you wanted to go to graduate school? was always a voracious reader and a very eager student, especially in literary and cultural  studies",Erin's story - dropout,0.4215,Neutral,0.15000000000000002,Positive
196," The first time I read a piece of literary criticism assigned by a high school English  teacher, it was as though everything I'd always felt viscerally about what literary expression  makes possible had been proven",Erin's story - dropout,-0.4404,Neutral,0.10166666666666667,Positive
197, That I had some sensibility for what I read gave me confidence as a  teenager,Erin's story - dropout,0.5106,Positive,0.0,Neutral
198," I knew that graduate study would be professionally advantageous and, y'know, I was a big nerd for  school",Erin's story - dropout,0.0772,Neutral,0.05,Positive
199, But at that point it dawned on me that there was a whole field out there all about sharing  insights into how we express our humanity with form and language and that I could be part of it,Erin's story - dropout,0.296,Neutral,0.2,Positive
